"","model_name","make_year","car_price","age"
"626","Ford Fusion",2015,11500,5
"627","Ford Fusion",2019,17222,1
"628","Ford Fusion",2019,14499,1
"629","Ford Fusion",2018,13087,2
"630","Ford Fusion",2019,17600,1
"631","Ford Fusion",2012,9600,8
"632","Ford Fusion",2020,15950,0
"633","Ford Fusion",2018,13488,2
"634","Ford Fusion",2017,12849,3
"635","Ford Fusion",2014,8990,6
"636","Ford Fusion",2019,13989,1
"637","Ford Fusion",2015,9995,5
"638","Ford Fusion",2018,12399,2
"639","Ford Fusion",2019,16985,1
"640","Ford Fusion",2010,5900,10
"641","Ford Fusion",2015,12606,5
"642","Ford Fusion",2018,15888,2
"643","Ford Fusion",2019,14484,1
"644","Ford Fusion",2017,12888,3
"645","Ford Fusion",2016,11590,4
"646","Ford Fusion",2017,15561,3
"647","Ford Fusion",2013,9995,7
"648","Ford Fusion",2019,16959,1
"649","Ford Fusion",2019,16000,1
"650","Ford Fusion",2011,6867,9
"651","Ford Fusion",2019,15989,1
"652","Ford Fusion",2017,11490,3
"653","Ford Fusion",2012,8521,8
"654","Ford Fusion",2016,8500,4
"655","Ford Fusion",2012,6995,8
"656","Ford Fusion",2018,13977,2
"657","Ford Fusion",2019,16467,1
"658","Ford Fusion",2017,14000,3
"659","Ford Fusion",2019,16899,1
"660","Ford Fusion",2015,8750,5
"661","Ford Fusion",2019,14500,1
"662","Ford Fusion",2015,11590,5
"663","Ford Fusion",2017,12995,3
"664","Ford Fusion",2017,9999,3
"665","Ford Fusion",2013,5495,7
"666","Ford Fusion",2019,16770,1
"667","Ford Fusion",2020,18575,0
"668","Ford Fusion",2011,9590,9
"669","Ford Fusion",2017,11500,3
"670","Ford Fusion",2014,9761,6
"671","Ford Fusion",2019,17581,1
"672","Ford Fusion",2019,15799,1
"673","Ford Fusion",2013,10750,7
"674","Ford Fusion",2014,8990,6
"675","Ford Fusion",2015,10500,5
"676","Ford Fusion",2019,15700,1
"677","Ford Fusion",2018,12995,2
"678","Ford Fusion",2019,17490,1
"679","Ford Fusion",2019,14711,1
"680","Ford Fusion",2019,15990,1
"681","Ford Fusion",2014,9000,6
"682","Ford Fusion",2016,8321,4
"683","Ford Fusion",2018,16000,2
"684","Ford Fusion",2011,4777,9
"685","Ford Fusion",2018,12980,2
"686","Ford Fusion",2020,16000,0
"687","Ford Fusion",2013,5995,7
"688","Ford Fusion",2019,15259,1
"689","Ford Fusion",2013,6775,7
"690","Ford Fusion",2010,6495,10
"691","Ford Fusion",2017,13495,3
"692","Ford Fusion",2016,7749,4
"693","Ford Fusion",2019,14771,1
"694","Ford Fusion",2017,11995,3
"695","Ford Fusion",2018,13500,2
"696","Ford Fusion",2019,12111,1
"697","Ford Fusion",2010,5900,10
"698","Ford Fusion",2019,16965,1
"699","Ford Fusion",2013,9849,7
"700","Ford Fusion",2019,15400,1
"701","Ford Fusion",2015,9995,5
"702","Ford Fusion",2019,15891,1
"703","Ford Fusion",2011,6800,9
"704","Ford Fusion",2019,15200,1
"705","Ford Fusion",2016,11598,4
"706","Ford Fusion",2018,12300,2
"707","Ford Fusion",2011,5995,9
"708","Ford Fusion",2017,11499,3
"709","Ford Fusion",2019,15777,1
"710","Ford Fusion",2019,18395,1
"711","Ford Fusion",2016,10987,4
"712","Ford Fusion",2016,10800,4
"713","Ford Fusion",2018,14500,2
"714","Ford Fusion",2019,16500,1
"715","Ford Fusion",2011,7995,9
"716","Ford Fusion",2019,14493,1
"717","Ford Fusion",2017,11691,3
"718","Ford Fusion",2018,12999,2
"719","Ford Fusion",2016,10390,4
"720","Ford Fusion",2015,10990,5
"721","Ford Fusion",2017,10696,3
"722","Ford Fusion",2019,17195,1
"723","Ford Fusion",2011,4789,9
"724","Ford Fusion",2018,16990,2
"725","Ford Fusion",2019,19995,1
"726","Ford Fusion",2013,8934,7
"727","Ford Fusion",2018,11500,2
"728","Ford Fusion",2011,6895,9
"729","Ford Fusion",2014,10604,6
"730","Ford Fusion",2015,9900,5
"731","Ford Fusion",2017,18900,3
